rule,confidence,lift,support,n_male,n_female,n_young,n_old
(hrv_cvnn_high) => hrv_cvnn_high equals hrv_sdnn_high,0.9208,1.0817,0.7686,71,50,60,61
(hrv_cvnn_low) => hrv_cvnn_low equals hrv_sdnn_low,0.9205,1.2106,0.6694,71,50,60,61
(hrv_cvsd_high) => hrv_cvsd_high equals hrv_rmssd_high,0.9062,1.1543,0.719,71,50,60,61
(hrv_cvsd_low) => hrv_cvsd_low equals hrv_rmssd_low,0.8652,1.1632,0.6364,71,50,60,61
(eda_scr_amp_high) => eda_scr_amp_high equals eda_scr_auc_high,0.8534,0.8606,0.8182,71,50,60,61
(hrv_cvsd_high) => hrv_cvsd_high equals hrv_sdnn_high,0.8229,0.9667,0.6529,71,50,60,61
(hrv_rmssd_high) => hrv_rmssd_high equals hrv_sdnn_high,0.8211,0.9645,0.6446,71,50,60,61
(eda_high) => eda_high starts eda_max_high,0.8167,0.8304,0.8099,71,50,60,61
(eda_max_low) => eda_max_low before valence_medium,0.7899,0.7899,0.7769,71,50,60,61
(hrv_cvnn_low) => hrv_cvnn_low equals hrv_cvsd_low,0.7841,1.066,0.5702,71,50,60,61
(eda_high) => eda_high meets eda_high,0.7833,0.7899,0.7769,71,50,60,61
(eda_std_high) => eda_std_high meets eda_std_medium,0.7797,0.8203,0.7603,71,50,60,61
(hrv_cvsd_low) => hrv_cvsd_low equals hrv_sdnn_low,0.7753,1.0197,0.5702,71,50,60,61
(arousal_low) => arousal_low before valence_medium,0.7692,0.7692,0.6612,71,50,60,61
(arousal_medium) => arousal_medium meets arousal_medium,0.7667,0.7731,0.7603,71,50,60,61
(eda_high) => eda_high overlaps eda_peaks_medium,0.7667,0.7929,0.7603,71,50,60,61
(eda_max_high) => eda_max_high contains eda_scr_auc_high,0.7647,0.7711,0.7521,71,50,60,61
(eda_low) => eda_low meets valence_medium,0.7627,0.7627,0.7438,71,50,60,61
(eda_peaks_low) => eda_peaks_low equals eda_scr_auc_high,0.7607,0.767,0.7355,71,50,60,61
(eda_scr_auc_high) => eda_scr_auc_high equals eda_std_high,0.7583,0.7776,0.7521,71,50,60,61
(hrv_cvnn_medium) => hrv_cvnn_medium equals hrv_sdnn_medium,0.7582,1.0426,0.5702,71,50,60,61
(hrv_pnn50_high) => hrv_pnn50_high equals hrv_rmssd_high,0.7579,0.9653,0.595,71,50,60,61
(eda_scr_amp_medium) => eda_scr_amp_medium starts eda_scr_auc_high,0.7528,0.7591,0.5537,71,50,60,61
(arousal_low) => arousal_low is-finished-by eda_peaks_medium,0.75,0.7756,0.6446,71,50,60,61
(hrv_hfn_medium) => hrv_hfn_medium meets valence_medium,0.75,0.75,0.3719,71,50,60,61
(eda_max_low) => eda_max_low is-finished-by eda_peaks_medium,0.7479,0.7735,0.7355,71,50,60,61
(eda_max_low) => eda_max_low equals eda_peaks_high,0.7479,0.7479,0.7355,71,50,60,61
(eda_low) => eda_low meets eda_peaks_medium,0.7458,0.7713,0.7273,71,50,60,61
(eda_low) => eda_low before eda_max_low,0.7458,0.7583,0.7273,71,50,60,61
(arousal_medium) => arousal_medium is-finished-by eda_peaks_medium,0.7417,0.767,0.7355,71,50,60,61
(arousal_medium) => arousal_medium is-finished-by eda_std_medium,0.7417,0.7804,0.7355,71,50,60,61
(eda_high) => eda_high contains eda_scr_auc_high,0.7417,0.7478,0.7355,71,50,60,61
(eda_max_high) => eda_max_high is-finished-by eda_peaks_medium,0.7395,0.7648,0.7273,71,50,60,61
(arousal_medium) => arousal_medium equals valence_medium,0.7333,0.7333,0.7273,71,50,60,61
(hrv_cvsd_medium) => hrv_cvsd_medium equals hrv_rmssd_medium,0.7312,0.983,0.562,71,50,60,61
(eda_max_low) => eda_max_low before eda_max_low,0.7311,0.7434,0.719,71,50,60,61
(hrv_hfn_high) => hrv_hfn_high meets valence_medium,0.7297,0.7297,0.4463,71,50,60,61
(hrv_sdnn_medium) => hrv_sdnn_medium meets valence_medium,0.7273,0.7273,0.5289,71,50,60,61
(arousal_medium) => arousal_medium meets eda_peaks_high,0.725,0.725,0.719,71,50,60,61
(arousal_low) => arousal_low contains eda_peaks_high,0.7212,0.7212,0.6198,71,50,60,61
(eda_medium) => eda_medium meets valence_medium,0.7207,0.7207,0.6612,71,50,60,61
(eda_peaks_high) => eda_peaks_high meets eda_peaks_medium,0.719,0.7436,0.719,71,50,60,61
(valence_medium) => valence_medium is-finished-by eda_std_medium,0.719,0.7565,0.719,71,50,60,61
(arousal_medium) => arousal_medium meets eda_scr_auc_medium,0.7167,0.7883,0.7107,71,50,60,61
(eda_scr_auc_high) => eda_scr_auc_high meets eda_std_medium,0.7167,0.7541,0.7107,71,50,60,61
(hrv_hfn_medium) => hrv_hfn_medium before eda_peaks_medium,0.7167,0.7412,0.3554,71,50,60,61
(temp_medium) => temp_medium meets valence_medium,0.7143,0.7143,0.5372,71,50,60,61
(valence_medium) => valence_medium meets valence_medium,0.7107,0.7107,0.7107,71,50,60,61
(hrv_cvsd_medium) => hrv_cvsd_medium meets valence_medium,0.7097,0.7097,0.5455,71,50,60,61
(eda_std_low) => eda_std_low meets eda_peaks_medium,0.7037,0.7278,0.6281,71,50,60,61
