rule,missing_dataset,present_in,avg_confidence,avg_support
(valence_low) => valence_low before eda_peaks_high,CASE,"CEAP, K-emoCon, EmoWorker_v2",0.7469,0.6449
(hrv_hfn_high) => hrv_hfn_high meets valence_medium,CEAP,"CASE, K-emoCon, EmoWorker_v2",0.7235,0.5595
(hrv_hfn_medium) => hrv_hfn_medium meets valence_medium,CEAP,"CASE, K-emoCon, EmoWorker_v2",0.7154,0.4571
(arousal_low) => arousal_low meets eda_scr_auc_medium,CEAP,"CASE, K-emoCon, EmoWorker_v2",0.7134,0.6309
(hrv_pnn20_high) => hrv_pnn20_high meets arousal_medium,CEAP,"CASE, K-emoCon, EmoWorker_v2",0.6952,0.658
(hrv_cvnn_high) => hrv_cvnn_high meets valence_medium,CEAP,"CASE, K-emoCon, EmoWorker_v2",0.6909,0.6603
(hrv_pnn20_medium) => hrv_pnn20_medium meets valence_medium,CEAP,"CASE, K-emoCon, EmoWorker_v2",0.6833,0.5945
(hrv_pnn50_high) => hrv_pnn50_high meets arousal_medium,CEAP,"CASE, K-emoCon, EmoWorker_v2",0.6827,0.6491
(hrv_pnn50_high) => hrv_pnn50_high meets valence_medium,CEAP,"CASE, K-emoCon, EmoWorker_v2",0.6819,0.6495
(hrv_cvnn_high) => hrv_cvnn_high meets arousal_medium,CEAP,"CASE, K-emoCon, EmoWorker_v2",0.6671,0.6373
(hrv_sdnn_high) => hrv_sdnn_high meets valence_medium,CEAP,"CASE, K-emoCon, EmoWorker_v2",0.6596,0.6399
(hrv_rmssd_low) => hrv_rmssd_low meets valence_medium,CEAP,"CASE, K-emoCon, EmoWorker_v2",0.6575,0.6042
(hrv_cvsd_low) => hrv_cvsd_low meets valence_medium,CEAP,"CASE, K-emoCon, EmoWorker_v2",0.6519,0.5819
(hrv_hfn_low) => hrv_hfn_low meets valence_medium,CEAP,"CASE, K-emoCon, EmoWorker_v2",0.6426,0.5409
(hrv_pnn50_low) => hrv_pnn50_low meets valence_medium,CEAP,"CASE, K-emoCon, EmoWorker_v2",0.6414,0.593
(hrv_cvnn_low) => hrv_cvnn_low meets valence_medium,CEAP,"CASE, K-emoCon, EmoWorker_v2",0.6303,0.5819
(hrv_rmssd_high) => hrv_rmssd_high meets valence_medium,CEAP,"CASE, K-emoCon, EmoWorker_v2",0.6284,0.5832
(hrv_hfn_low) => hrv_hfn_low meets arousal_medium,CEAP,"CASE, K-emoCon, EmoWorker_v2",0.6194,0.5263
(hrv_sdnn_low) => hrv_sdnn_low meets valence_medium,CEAP,"CASE, K-emoCon, EmoWorker_v2",0.6061,0.5705
(eda_medium) => eda_medium meets valence_medium,EmoWorker_v2,"CASE, K-emoCon, CEAP",0.7256,0.6536
(arousal_medium) => arousal_medium meets eda_scr_auc_medium,EmoWorker_v2,"CASE, K-emoCon, CEAP",0.7019,0.7019
(arousal_medium) => arousal_medium equals valence_medium,K-emoCon,"CASE, CEAP, EmoWorker_v2",0.8014,0.7924
(eda_medium) => eda_medium meets arousal_medium,K-emoCon,"CASE, CEAP, EmoWorker_v2",0.7889,0.7234
(valence_high) => valence_high meets arousal_medium,K-emoCon,"CASE, CEAP, EmoWorker_v2",0.7535,0.5825
(eda_std_medium) => eda_std_medium meets arousal_medium,K-emoCon,"CASE, CEAP, EmoWorker_v2",0.7291,0.6786
(hrv_sdnn_medium) => hrv_sdnn_medium meets valence_medium,K-emoCon,"CASE, CEAP, EmoWorker_v2",0.719,0.5123
(eda_max_medium) => eda_max_medium before valence_medium,K-emoCon,"CASE, CEAP, EmoWorker_v2",0.6838,0.6231
(hrv_cvnn_medium) => hrv_cvnn_medium meets valence_medium,K-emoCon,"CASE, CEAP, EmoWorker_v2",0.6765,0.512
(hrv_cvsd_medium) => hrv_cvsd_medium meets valence_medium,K-emoCon,"CASE, CEAP, EmoWorker_v2",0.6753,0.5123
(arousal_high) => arousal_high meets eda_scr_amp_high,K-emoCon,"CASE, CEAP, EmoWorker_v2",0.6051,0.5599
